news_id	retweets	favourites	total tweets	12h	24h	48h	7 days	rest
1883	0	101	7	3	2	1	1	0
1515	0	0	8	6	2	0	0	0
1328	0	0	12	8	1	1	1	1
2253	0	0	10	2	0	0	0	8
1257	3	16	24	16	3	0	2	3
1279	0	0	33	22	1	1	2	7
488	0	0	8	5	1	2	0	0
1306	0	0	31	24	4	1	2	0
1556	0	0	55	1	0	0	0	54
2225	0	0	7	6	0	1	0	0
1401	0	0	9	7	2	0	0	0
1462	0	0	14	14	0	0	0	0
1338	0	0	249	234	9	2	2	2
2258	0	0	22	18	2	2	0	0
1857	0	0	8	7	1	0	0	0
2050	0	0	52	1	0	0	0	51
2163	0	0	22	21	1	0	0	0
2004	0	26	80	50	14	9	4	3
2036	0	0	9	9	0	0	0	0
1964	0	0	10	8	1	0	1	0
1540	0	1	13	8	5	0	0	0
1840	0	0	6	6	0	0	0	0
1813	0	0	8	3	3	1	1	0
1311	0	0	11	7	1	1	2	0
1668	0	0	41	24	4	1	1	11
2267	0	2	8	7	1	0	0	0
1549	0	0	15	15	0	0	0	0
1554	1	36	12	6	5	1	0	0
559	0	0	869	1	0	0	0	868
1704	0	0	14	12	0	0	1	1
1316	0	23	9	7	1	1	0	0
2132	0	0	51	47	2	1	1	0
1757	0	0	10	10	0	0	0	0
1439	0	0	19	15	2	0	2	0
2074	0	0	7	4	2	1	0	0
1791	0	4	17	14	1	1	1	0
1966	1	20	6	3	2	0	1	0
1714	0	11	7	4	0	0	0	3
1320	0	3	8	7	1	0	0	0
1255	0	0	31	22	3	0	3	3
1776	0	0	17	13	3	1	0	0
1863	0	0	14	10	1	2	1	0
1814	0	0	14	13	1	0	0	0
1421	0	5	10	7	1	1	1	0
1891	0	0	10	10	0	0	0	0
1935	1	6	9	8	0	1	0	0
1278	0	0	30	24	1	0	1	4
1412	0	0	8	7	1	0	0	0
1793	0	16	6	6	0	0	0	0
1768	0	0	7	5	1	0	1	0
1357	0	0	6	5	1	0	0	0
2247	0	0	11	10	1	0	0	0
1317	0	0	10	8	1	0	1	0
1334	0	7	9	8	0	1	0	0
1846	0	2	29	14	9	3	3	0
1521	0	0	11	11	0	0	0	0
1622	0	0	6	6	0	0	0	0
1350	0	0	14	12	1	0	0	1
2107	0	1	14	1	0	0	0	13
2096	0	0	8	8	0	0	0	0
1850	0	0	7	5	0	0	1	1
2184	0	0	19	19	0	0	0	0
2234	0	0	6	3	3	0	0	0
1878	0	0	11	5	4	1	1	0
1524	1	2	70	54	14	2	0	0
2081	0	0	55	55	0	0	0	0
1816	1	4	15	14	0	0	1	0
1565	0	0	11	10	0	0	0	1
1551	0	0	7	7	0	0	0	0
1787	0	0	8	6	2	0	0	0
2103	0	0	6	5	0	1	0	0
1823	0	3	7	7	0	0	0	0
1736	0	0	68	41	17	8	2	0
1882	0	0	13	10	1	0	2	0
1526	0	0	6	6	0	0	0	0
1274	0	0	27	20	1	0	2	4
1889	0	5	32	15	15	1	1	0
312	0	0	61	55	4	1	1	0
1380	0	0	14	11	3	0	0	0
1284	0	0	7	5	1	0	1	0
1775	1	12	18	17	1	0	0	0
2303	2	9	9	9	0	0	0	0
1285	0	13	7	7	0	0	0	0
1961	0	146	7	3	3	1	0	0
1218	0	0	75	1	0	2	70	2
2273	0	0	6	4	1	1	0	0
1538	1	0	11	8	3	0	0	0
1422	0	0	12	10	2	0	0	0
1276	0	0	29	20	1	0	3	5
1638	1	14	7	6	0	0	1	0
1722	0	0	9	4	0	4	1	0
2263	0	2	9	8	1	0	0	0
1555	0	0	7	1	6	0	0	0
2015	0	4	7	7	0	0	0	0
2204	0	0	6	3	0	0	3	0
1245	0	1	39	20	8	2	2	7
1848	0	21	16	12	0	2	2	0
1010	0	0	23	9	3	0	2	9
1258	0	0	23	17	1	0	1	4
2170	0	0	9	3	4	2	0	0
1783	0	0	20	17	1	2	0	0
1826	0	173	9	7	1	1	0	0
1519	0	0	12	12	0	0	0	0
1890	0	0	17	16	1	0	0	0
1433	0	0	17	17	0	0	0	0
1542	0	0	10	4	0	6	0	0
1727	0	0	17	13	2	1	1	0
1291	0	0	7	5	1	1	0	0
2111	0	0	12	7	4	1	0	0
1926	0	0	9	8	1	0	0	0
1325	0	10	64	42	7	6	6	3
1517	0	0	13	11	0	1	0	1
2102	1	1	11	5	0	2	2	2
1779	1	5	7	5	2	0	0	0
2018	0	0	11	9	2	0	0	0
1634	0	12	12	10	2	0	0	0
1298	0	0	12	5	5	0	2	0
1447	2	5	7	4	2	0	1	0
2093	0	0	12	12	0	0	0	0
1312	0	1	14	11	2	0	0	1
2043	0	0	10	8	1	1	0	0
2277	0	0	26	22	4	0	0	0
2075	1	6	11	7	2	1	1	0
1415	0	1	42	38	3	0	1	0
1310	2	16	7	6	0	0	1	0
2252	0	2	17	16	0	1	0	0
1445	0	0	8	6	0	1	1	0
2114	4	23	7	4	1	1	1	0
1636	1	8	25	15	6	2	2	0
1459	0	0	6	5	0	0	1	0
1128	0	0	13	8	2	3	0	0
2162	0	0	38	31	6	1	0	0
2159	0	0	12	11	1	0	0	0
2245	0	0	10	10	0	0	0	0
1247	0	0	27	14	1	1	6	5
1343	0	0	88	80	4	1	1	2
1272	0	1	32	22	1	1	1	7
1901	0	0	7	5	0	1	1	0
1256	0	0	37	23	6	0	1	7
1759	0	0	10	9	0	0	1	0
1406	0	0	10	6	2	1	0	1
1405	0	0	41	36	4	1	0	0
1815	0	0	73	65	5	3	0	0
1290	74	560	13	10	0	3	0	0
1423	0	1	31	21	4	5	0	1
2022	1	7	8	6	1	1	0	0
1773	0	2	7	6	1	0	0	0
1817	0	2	7	7	0	0	0	0
1344	0	0	9	6	1	2	0	0
1627	0	13	15	12	3	0	0	0
2033	0	0	11	11	0	0	0	0
1978	0	0	13	13	0	0	0	0
1762	0	0	10	8	2	0	0	0
1643	5	2	11	10	1	0	0	0
2023	5	30	8	4	4	0	0	0
1265	0	0	15	7	2	0	2	4
1300	0	43	42	35	5	0	1	1
2168	0	0	7	5	1	0	1	0
1778	0	0	22	13	7	2	0	0
2180	0	0	19	18	1	0	0	0
1321	0	0	9	4	1	0	0	4
1967	0	0	11	8	3	0	0	0
1718	0	19	6	6	0	0	0	0
1419	0	1	11	11	0	0	0	0
1303	0	0	10	6	3	1	0	0
1895	0	0	16	15	1	0	0	0
1767	0	1	10	8	2	0	0	0
1413	0	0	14	13	0	0	0	1
1673	0	2	48	44	3	1	0	0
1294	5	30	9	7	0	1	1	0
1414	0	0	13	13	0	0	0	0
1696	0	1	55	51	1	2	1	0
1301	0	0	11	10	0	1	0	0
2226	0	1	9	8	0	1	0	0
1287	0	0	8	7	1	0	0	0
1945	0	1	9	9	0	0	0	0
2087	0	4	14	13	0	1	0	0
1539	1	4	6	5	1	0	0	0
2005	0	3	11	10	1	0	0	0
2167	0	0	8	6	1	0	1	0
1395	0	0	14	10	1	2	0	1
2219	0	0	7	5	2	0	0	0
1319	0	0	8	6	2	0	0	0
1694	0	0	6	6	0	0	0	0
2257	0	15	8	6	0	2	0	0
1465	22	95	27	16	7	3	1	0
2223	0	0	6	3	2	1	0	0
2238	0	12	9	5	4	0	0	0
1575	2	6	10	5	0	5	0	0
2037	0	0	10	2	2	5	0	1
1548	0	4	9	9	0	0	0	0
1254	0	0	25	18	1	0	3	3
1698	0	1	30	19	9	2	0	0
1578	0	0	10	4	0	4	1	1
1839	0	0	47	6	0	0	0	41
1253	0	0	33	14	3	0	2	14
2250	0	0	10	8	1	1	0	0
1845	0	0	7	5	1	0	0	1
2161	0	1	20	20	0	0	0	0
2079	0	0	14	12	1	1	0	0
1394	0	0	29	19	10	0	0	0
1849	30	133	11	7	1	1	2	0
1609	0	1	7	4	3	0	0	0
1725	0	0	26	25	1	0	0	0
1957	0	0	54	12	26	15	1	0
2231	0	0	7	7	0	0	0	0
1619	0	0	17	12	1	2	1	1
1308	0	0	19	14	3	1	1	0
2244	0	0	10	9	0	1	0	0
1304	0	6	7	6	1	0	0	0
2150	0	0	28	4	0	15	9	0
2040	0	9	6	6	0	0	0	0
1854	1	1	10	10	0	0	0	0
1557	0	59	13	1	0	0	0	12
1251	0	0	24	18	1	0	1	4
1963	0	0	10	7	3	0	0	0
1400	0	1783	6	6	0	0	0	0
1404	0	0	40	23	4	6	4	3
1340	1	5	13	13	0	0	0	0
1573	0	1	8	8	0	0	0	0
1309	2	7	8	5	1	0	1	1
1263	0	0	32	17	6	0	1	8
1427	0	0	128	1	1	0	0	126
1442	0	1	12	11	1	0	0	0
1529	0	0	66	43	22	1	0	0
2171	0	0	12	12	0	0	0	0
1313	0	17	7	5	2	0	0	0
1407	0	0	6	5	1	0	0	0
1264	0	0	38	19	9	1	3	6
1726	0	0	12	10	1	0	1	0
1818	0	5	7	6	0	0	0	1
1721	0	0	9	8	1	0	0	0
2027	0	0	6	4	1	0	1	0
1379	0	2	7	2	3	0	2	0
1729	0	0	14	7	5	1	1	0
2306	0	0	12	11	1	0	0	0
1326	0	0	13	1	1	0	1	10
1410	0	6	12	10	2	0	0	0
1697	0	0	12	4	6	2	0	0
834	0	13544	7	6	0	1	0	0
1418	0	4	19	17	1	0	1	0
1280	0	0	88	3	1	1	1	82
2232	0	7	6	5	1	0	0	0
1246	0	0	26	16	1	0	2	7
2197	0	1	17	4	0	0	0	13
1399	0	1	49	5	1	1	42	0
1719	0	1	13	7	4	1	1	0
1640	0	0	6	5	0	0	1	0
1460	0	0	6	6	0	0	0	0
1567	0	5	6	6	0	0	0	0
1382	0	0	59	34	7	6	11	1
1720	1	14	8	8	0	0	0	0
1703	0	0	9	8	1	0	0	0
1568	1	17	13	11	0	1	0	1
2160	0	1	42	38	3	0	1	0
1527	0	0	38	27	7	2	1	1
1288	2	9	9	5	2	1	1	0
1642	0	0	11	10	1	0	0	0
1944	0	0	7	7	0	0	0	0
1552	0	0	72	52	20	0	0	0
2091	0	1	6	4	0	2	0	0
2166	0	0	9	7	1	1	0	0
2309	0	0	7	6	1	0	0	0
2039	0	2	32	21	5	2	4	0
1260	0	0	31	22	2	0	2	5
1550	0	0	25	17	8	0	0	0
1965	0	0	7	6	1	0	0	0
2222	0	0	8	7	1	0	0	0
1417	0	0	22	20	0	2	0	0
1318	0	0	10	10	0	0	0	0
1360	0	0	8	7	1	0	0	0
2165	0	0	12	12	0	0	0	0
1267	0	0	33	19	5	0	3	6
1962	0	0	6	4	0	0	2	0
1356	1	11	7	4	2	1	0	0
1398	0	4	14	14	0	0	0	0
1525	0	0	14	10	2	2	0	0
2228	0	3	10	9	1	0	0	0
1637	0	0	7	7	0	0	0	0
1562	0	0	11	8	2	1	0	0
1832	0	21	16	9	2	3	0	2
1728	0	0	8	7	1	0	0	0
1758	5	9	35	33	1	1	0	0
1438	0	8	7	7	0	0	0	0
1416	0	0	13	12	0	1	0	0
1468	0	0	26	19	1	5	0	1
2183	0	8	6	5	1	0	0	0
1896	2	10	8	7	0	0	0	1
1933	0	0	23	22	1	0	0	0
2311	0	0	17	11	6	0	0	0
1693	1	13	17	12	2	2	0	1
1430	0	17	10	10	0	0	0	0
1753	0	1	13	7	2	2	1	1
2105	0	1	9	5	0	1	3	0
1786	0	14	7	6	1	0	0	0
1282	0	0	107	17	2	0	1	87
1323	0	0	28	21	2	1	3	1
1752	1	5	8	6	1	1	0	0
1314	0	0	9	8	0	0	0	1
920	0	41	41	1	0	0	0	40
